Fecha,Ejercicio,Mes,Grupo,Tipo,CuentaContable,DescripcionCuenta,ClienteID,ProductoID,Importe
01/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,29,11,-2826
01/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,46,6,12545
01/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,12,9,6483
01/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,44,9,-1000
01/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,22,7,16655
01/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,11,9,24689
01/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,36,7,6591
01/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,46,4,17011
01/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,23,4,-1658
01/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,23,11,12586
02/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,45,2,15202
02/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,47,10,-4218
02/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,50,5,3750
02/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,3,3,18706
02/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,6,5,14542
02/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,34,11,-3050
02/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,31,6,-3595
02/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,24,10,14239
02/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,16,5,-2627
02/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,27,1,15393
03/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,28,1,-3007
03/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,34,5,11238
03/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,20,6,6173
03/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,26,12,24382
03/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,43,3,1893
03/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,12,11,23492
03/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,25,5,3288
03/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,42,12,13057
03/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,23,1,4709
03/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,1,12,1234
03/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,38,3,-4313
03/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,23,4,9695
03/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,22,9,-2714
04/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,19,3,-4328
04/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,3,5,12411
04/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,3,7,1499
04/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,39,1,-2756
04/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,27,12,6711
05/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,13,6,15072
05/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,32,12,3109
05/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,6,12,22895
05/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,49,10,13052
05/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,5,8,20639
05/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,20,10,7679
05/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,30,12,13785
05/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,14,7,20890
05/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,45,12,15884
05/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,9,5,1942
05/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,48,5,25532
05/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,25,5,-3753
06/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,2,1,21155
06/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,15,3,-719
06/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,14,4,-2063
06/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,48,5,15619
06/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,16,4,19211
06/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,15,11,-1986
06/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,3,9,11003
06/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,32,5,2164
06/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,42,7,11246
06/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,50,5,24669
06/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,7,3,13487
06/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,47,7,20159
06/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,17,11,24903
06/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,24,6,3881
07/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,40,9,24903
07/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,46,3,22737
07/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,43,2,11219
07/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,46,6,-2385
07/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,26,8,-4783
07/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,27,3,14043
07/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,34,8,17680
08/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,28,8,22843
08/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,27,3,-4751
08/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,10,11,17089
08/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,39,8,20994
08/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,31,9,9548
08/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,46,7,-2930
08/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,45,3,19561
08/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,8,10,15103
08/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,43,2,24193
08/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,29,7,5887
08/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,32,8,15311
08/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,46,7,-224
09/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,49,7,16033
09/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,24,2,3922
09/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,18,12,6934
09/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,33,3,12316
09/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,35,3,13556
09/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,3,2,-1459
10/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,45,1,13587
10/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,18,10,-1035
10/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,45,4,21947
10/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,13,1,-4543
10/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,9,8,4896
10/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,45,9,-794
11/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,17,4,-3478
11/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,2,8,8532
11/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,48,2,20193
11/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,16,1,9429
11/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,42,2,20673
11/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,17,4,4044
11/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,36,7,4546
12/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,15,1,-3283
12/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,36,11,-2927
12/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,28,9,5566
12/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,45,5,24379
12/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,49,6,1781
12/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,36,6,9148
13/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,25,9,18021
13/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,12,12,10087
13/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,6,3,7729
13/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,38,5,2933
13/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,14,6,-2151
13/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,24,6,3610
13/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,41,3,9891
13/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,25,7,7706
13/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,13,10,21104
14/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,20,4,10651
14/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,47,7,12079
14/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,18,12,23226
14/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,38,12,7712
14/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,23,6,23244
15/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,13,3,12823
15/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,47,7,2001
15/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,30,11,-3627
15/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,18,4,-3159
15/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,12,4,17901
15/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,13,8,20441
15/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,39,4,16343
15/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,45,5,-1828
15/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,30,9,22435
15/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,32,1,-4512
15/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,7,7,3283
15/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,31,9,21653
15/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,32,3,10246
16/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,26,9,25231
16/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,50,9,10075
16/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,3,9,14063
16/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,38,9,22802
16/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,35,1,4536
16/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,20,2,5790
16/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,35,8,18515
16/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,9,7,-3352
16/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,2,7,16667
16/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,32,7,12610
16/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,35,11,21352
17/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,16,8,6602
17/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,29,10,9508
17/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,32,7,19799
17/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,30,4,19388
17/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,33,10,-1545
17/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,15,3,12541
17/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,9,7,15761
17/01/2023,2023,1,7,Ingreso,704000,Descuentos sobre ventas,17,4,-2881
17/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,28,9,19928
17/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,43,4,12041
17/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,42,11,4632
17/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,47,7,7868
18/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,15,9,3505
18/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,36,11,9020
18/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,31,8,11377
18/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,47,11,24023
18/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,25,9,10577
18/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,10,11,1278
18/01/2023,2023,1,7,Ingreso,705000,Prestaciones de servicios,42,2,8781
18/01/2023,2023,1,7,Ingreso,706000,Ingresos accesorios,17,1,14160
18/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,4,6,10915
18/01/2023,2023,1,7,Ingreso,702000,Ventas de subproductos,9,12,9165
18/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,50,4,14011
18/01/2023,2023,1,7,Ingreso,701000,Ventas de productos terminados,26,3,7375
18/01/2023,2023,1,7,Ingreso,700000,Ventas de mercaderías,21,2,13348
