Fecha;Ejercicio;Mes;Grupo;Tipo;CuentaContable;DescripcionCuenta;ClienteID;ProductoID;Importe
01/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;29;11;-2743
01/01/2023;2023;1;7;Ingreso;705000;Prestaciones de servicios;46;6;12757
01/01/2023;2023;1;7;Ingreso;705000;Prestaciones de servicios;12;9;6585
01/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;44;9;-1034
01/01/2023;2023;1;7;Ingreso;705000;Prestaciones de servicios;22;7;16624
01/01/2023;2023;1;7;Ingreso;700000;Ventas de mercaderías;11;9;24081
01/01/2023;2023;1;7;Ingreso;705000;Prestaciones de servicios;36;7;6618
01/01/2023;2023;1;7;Ingreso;700000;Ventas de mercaderías;46;4;16280
01/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;23;4;-1602
01/01/2023;2023;1;7;Ingreso;700000;Ventas de mercaderías;23;11;12241
02/01/2023;2023;1;7;Ingreso;701000;Ventas de productos terminados;45;2;15982
02/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;47;10;-4130
02/01/2023;2023;1;7;Ingreso;705000;Prestaciones de servicios;50;5;3622
02/01/2023;2023;1;7;Ingreso;706000;Ingresos accesorios;3;3;19419
02/01/2023;2023;1;7;Ingreso;705000;Prestaciones de servicios;6;5;14391
02/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;34;11;-3202
02/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;31;6;-3763
02/01/2023;2023;1;7;Ingreso;701000;Ventas de productos terminados;24;10;14383
02/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;16;5;-2657
02/01/2023;2023;1;7;Ingreso;706000;Ingresos accesorios;27;1;15481
03/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;28;1;-2967
03/01/2023;2023;1;7;Ingreso;706000;Ingresos accesorios;34;5;10994
03/01/2023;2023;1;7;Ingreso;706000;Ingresos accesorios;20;6;6063
03/01/2023;2023;1;7;Ingreso;705000;Prestaciones de servicios;26;12;23252
03/01/2023;2023;1;7;Ingreso;702000;Ventas de subproductos;43;3;1916
03/01/2023;2023;1;7;Ingreso;706000;Ingresos accesorios;12;11;24031
03/01/2023;2023;1;7;Ingreso;702000;Ventas de subproductos;25;5;3169
03/01/2023;2023;1;7;Ingreso;706000;Ingresos accesorios;42;12;13269
03/01/2023;2023;1;7;Ingreso;706000;Ingresos accesorios;23;1;4913
03/01/2023;2023;1;7;Ingreso;702000;Ventas de subproductos;1;12;1240
03/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;38;3;-4309
03/01/2023;2023;1;7;Ingreso;701000;Ventas de productos terminados;23;4;9742
03/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;22;9;-2734
04/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;19;3;-4255
04/01/2023;2023;1;7;Ingreso;701000;Ventas de productos terminados;3;5;12097
04/01/2023;2023;1;7;Ingreso;700000;Ventas de mercaderías;3;7;1444
04/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;39;1;-2713
04/01/2023;2023;1;7;Ingreso;701000;Ventas de productos terminados;27;12;6630
05/01/2023;2023;1;7;Ingreso;700000;Ventas de mercaderías;13;6;15345
05/01/2023;2023;1;7;Ingreso;701000;Ventas de productos terminados;32;12;3255
05/01/2023;2023;1;7;Ingreso;701000;Ventas de productos terminados;6;12;23143
05/01/2023;2023;1;7;Ingreso;705000;Prestaciones de servicios;49;10;12860
05/01/2023;2023;1;7;Ingreso;706000;Ingresos accesorios;5;8;20469
05/01/2023;2023;1;7;Ingreso;700000;Ventas de mercaderías;20;10;7790
05/01/2023;2023;1;7;Ingreso;706000;Ingresos accesorios;30;12;13647
05/01/2023;2023;1;7;Ingreso;701000;Ventas de productos terminados;14;7;19908
05/01/2023;2023;1;7;Ingreso;701000;Ventas de productos terminados;45;12;16529
05/01/2023;2023;1;7;Ingreso;705000;Prestaciones de servicios;9;5;1946
05/01/2023;2023;1;7;Ingreso;702000;Ventas de subproductos;48;5;24790
05/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;25;5;-3680
06/01/2023;2023;1;7;Ingreso;700000;Ventas de mercaderías;2;1;20826
06/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;15;3;-743
06/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;14;4;-2149
06/01/2023;2023;1;7;Ingreso;706000;Ingresos accesorios;48;5;15150
06/01/2023;2023;1;7;Ingreso;706000;Ingresos accesorios;16;4;20022
06/01/2023;2023;1;7;Ingreso;704000;Descuentos sobre ventas;15;11;-1961
06/01/2023;2023;1;7;Ingreso;701000;Ventas de productos terminados;3;9;10704
